"date","time","slot","pillar","angle","title","audience","risk","timing","reserve","evidenceTerms","searchTerms","authority","occurrence","curationStatus"
"2026-09-23","14:30","3","housing_property","audience","Budgeting purchase transaction costs for renters and property owners","renters and property owners","high","evergreen","none","arrendamento | contrato de arrendamento","arrendamento | IMI | AIMI | IMT | imóvel | habitação","Autoridade Tributária, gov.pt, Diário da República, or the responsible municipality","1","curated_90_day"
"2026-09-23","18:00","4","education_children","golden_tip","NEWS RESERVE — fallback: Recognising a foreign degree: one golden tip and what to verify","families and students","medium","news_flex","breaking_news","recognising foreign degree","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-09-23","21:00","5","health_family","foundation","Health-fee exemptions: a plain-English explanation","individuals and families","medium","evergreen","none","health exemptions","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-24","08:30","1","identity_access","edge_case","What a NISS is: mistakes, exceptions and edge cases","new residents","medium","evergreen","none","NISS | número de identificação da segurança social","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-09-24","11:30","2","irs","audience","Reviewing automatic IRS for people filing personal income tax","people filing personal income tax","high","evergreen","none","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-09-24","14:30","3","health_family","golden_tip","Getting an SNS user number: one golden tip and what to verify","individuals and families","medium","evergreen","none","getting number | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-24","18:00","4","immigration_residency","foundation","NEWS RESERVE — fallback: D7 residence route: a plain-English explanation","international residents","high","news_flex","breaking_news","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-09-24","21:00","5","driving_transport","action","Portuguese toll systems: a practical step-by-step checklist","drivers and commuters","medium","evergreen","none","systems","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-25","08:30","1","freelance_business","audience","What recibos verdes are for freelancers and solo founders","freelancers and solo founders","high","evergreen","none","recibos verdes","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-25","11:30","2","banking_money","golden_tip","Multibanco payments: one golden tip and what to verify","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-09-25","14:30","3","daily_life_consumer","foundation","Building an emergency document folder: a plain-English explanation","everyone living in Portugal","low","evergreen","none","building emergency document","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-09-25","18:00","4","iva","action","Quarterly IVA payment today: verify the amount and keep proof","freelancers and small businesses","high","official_locked","date_locked","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","https://info.portaldasfinancas.gov.pt/pt/apoio_contribuinte/calendario_fiscal/Pages/Quadro_res_Pag_2026.aspx","1","curated_90_day"
"2026-09-25","21:00","5","employment","edge_case","Ending an employment contract: mistakes, exceptions and edge cases","employees and job seekers","medium","evergreen","none","contrato de trabalho | Código do Trabalho","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-26","08:30","1","social_security","golden_tip","First-year Social Security treatment: one golden tip and what to verify","workers and freelancers","high","evergreen","none","Segurança Social | declaração trimestral","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-26","11:30","2","driving_transport","foundation","IUC payment timing: a plain-English explanation","drivers and commuters","medium","evergreen","none","IUC | Imposto Único de Circulação","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-26","14:30","3","citizenship_civil","action","Residence and citizenship are different processes: a practical step-by-step checklist","residents building a long-term life","high","evergreen","none","AIMA | autorização de residência | arrendamento | contrato de arrendamento","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-26","18:00","4","education_children","edge_case","NEWS RESERVE — fallback: Student residence administration: mistakes, exceptions and edge cases","families and students","medium","news_flex","breaking_news","AIMA | autorização de residência","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-09-26","21:00","5","education_children","audience","Recognising foreign school records for families and students","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-27","08:30","1","employment","foundation","Holiday and Christmas allowances: a plain-English explanation","employees and job seekers","medium","evergreen","none","holiday christmas allowances","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-27","11:30","2","identity_access","action","Keeping digital copies of Portuguese documents: a practical step-by-step checklist","new residents","medium","evergreen","none","keeping digital copies","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-09-27","14:30","3","irs","edge_case","Capital gains basics: mistakes, exceptions and edge cases","people filing personal income tax","high","evergreen","none","capital gains basics","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-09-27","18:00","4","housing_property","audience","AIMI reminder: verify your assessment and payment details","renters and property owners","high","official_locked","date_locked","AIMI | Adicional ao IMI","arrendamento | IMI | AIMI | IMT | imóvel | habitação","https://info.portaldasfinancas.gov.pt/pt/apoio_contribuinte/calendario_fiscal/Pages/Quadro_res_Pag_2026.aspx","1","curated_90_day"
"2026-09-27","21:00","5","identity_access","golden_tip","Tax representation and when it applies: one golden tip and what to verify","new residents","medium","evergreen","none","representation applies","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-09-28","08:30","1","education_children","action","School calendar basics: a practical step-by-step checklist","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-28","11:30","2","freelance_business","edge_case","Using certified invoicing software: mistakes, exceptions and edge cases","freelancers and solo founders","high","evergreen","none","using certified invoicing","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-28","14:30","3","banking_money","audience","Foreign bank accounts and Portuguese tax for people managing money in Portugal","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-09-28","18:00","4","daily_life_consumer","golden_tip","NEWS RESERVE — fallback: Reading an electricity bill: one golden tip and what to verify","everyone living in Portugal","low","news_flex","breaking_news","reading electricity","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-09-28","21:00","5","iva","foundation","Keeping IVA evidence: a plain-English explanation","freelancers and small businesses","high","evergreen","none","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-09-29","08:30","1","immigration_residency","edge_case","Family reunification basics: mistakes, exceptions and edge cases","international residents","high","evergreen","none","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-09-29","11:30","2","social_security","audience","Social Security contribution exemptions for workers and freelancers","workers and freelancers","high","evergreen","none","Segurança Social | declaração trimestral","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-29","14:30","3","driving_transport","golden_tip","Public-transport passes: one golden tip and what to verify","drivers and commuters","medium","evergreen","none","public transport passes","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-29","18:00","4","banking_money","foundation","NEWS RESERVE — fallback: Opening a Portuguese bank account: a plain-English explanation","people managing money in Portugal","medium","news_flex","breaking_news","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-09-29","21:00","5","employment","action","Registering with IEFP: a practical step-by-step checklist","employees and job seekers","medium","evergreen","none","registering","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-30","08:30","1","iva","audience","Quarterly IVA declaration basics for freelancers and small businesses","freelancers and small businesses","high","evergreen","none","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-09-30","11:30","2","employment","golden_tip","Keeping employment documents: one golden tip and what to verify","employees and job seekers","medium","evergreen","none","keeping employment documents","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-09-30","14:30","3","identity_access","foundation","Recovering Portal das Finanças access: a plain-English explanation","new residents","medium","evergreen","none","recovering portal finanças | Portal das Finanças","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-09-30","18:00","4","housing_property","action","AIMI due today: act only if you received an assessment","renters and property owners","high","official_locked","date_locked","AIMI | Adicional ao IMI","arrendamento | IMI | AIMI | IMT | imóvel | habitação","https://info.portaldasfinancas.gov.pt/pt/apoio_contribuinte/calendario_fiscal/Pages/Quadro_res_Pag_2026.aspx","1","curated_90_day"
"2026-09-30","21:00","5","health_family","edge_case","Getting an SNS user number: mistakes, exceptions and edge cases","individuals and families","medium","evergreen","none","getting number | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-01","08:30","1","housing_property","golden_tip","Rental receipts: one golden tip and what to verify","renters and property owners","high","evergreen","none","arrendamento | contrato de arrendamento","arrendamento | IMI | AIMI | IMT | imóvel | habitação","Autoridade Tributária, gov.pt, Diário da República, or the responsible municipality","1","curated_90_day"
"2026-10-01","11:30","2","education_children","foundation","School catchment areas: a plain-English explanation","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-01","14:30","3","freelance_business","action","What recibos verdes are: a practical step-by-step checklist","freelancers and solo founders","high","evergreen","none","recibos verdes","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-01","18:00","4","banking_money","edge_case","NEWS RESERVE — fallback: Resident versus non-resident bank accounts: mistakes, exceptions and edge cases","people managing money in Portugal","medium","news_flex","breaking_news","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-01","21:00","5","daily_life_consumer","audience","Document-expiry monthly review for everyone living in Portugal","everyone living in Portugal","low","evergreen","none","document expiry monthly","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-10-02","08:30","1","health_family","foundation","Healthcare for children: a plain-English explanation","individuals and families","medium","evergreen","none","healthcare children","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-02","11:30","2","immigration_residency","action","Checking AIMA fees safely: a practical step-by-step checklist","international residents","high","evergreen","none","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-10-02","14:30","3","social_security","edge_case","Portable A1 certificates: mistakes, exceptions and edge cases","workers and freelancers","high","evergreen","none","portable certificates","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-02","18:00","4","daily_life_consumer","audience","Republic Day on Monday: plan public-service errands before the holiday","everyone living in Portugal","low","rule_locked","date_locked","republic monday public","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","https://www.dgaep.gov.pt/stap/infoPage.cfm?objid=9a36961c-71bc-40de-8ee0-5cdeb2dea832","1","curated_90_day"
"2026-10-02","21:00","5","education_children","golden_tip","School calendar basics: one golden tip and what to verify","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-03","08:30","1","daily_life_consumer","action","Reading an electricity bill: a practical step-by-step checklist","everyone living in Portugal","low","evergreen","none","reading electricity","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-10-03","11:30","2","iva","edge_case","IVA when buying business services abroad: mistakes, exceptions and edge cases","freelancers and small businesses","high","evergreen","none","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-10-03","14:30","3","employment","audience","Meal allowance for employees and job seekers","employees and job seekers","medium","evergreen","none","contrato de trabalho | Código do Trabalho","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-03","18:00","4","identity_access","golden_tip","NEWS RESERVE — fallback: Getting a NIF as a resident: one golden tip and what to verify","new residents","medium","news_flex","breaking_news","NIF | número de identificação fiscal","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-03","21:00","5","irs","foundation","Foreign income and Anexo J: a plain-English explanation","people filing personal income tax","high","evergreen","none","foreign income anexo | Anexo J","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-10-04","08:30","1","citizenship_civil","edge_case","Counting legal residence time: mistakes, exceptions and edge cases","residents building a long-term life","high","evergreen","none","AIMA | autorização de residência","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-04","11:30","2","housing_property","audience","Stamp duty on property purchases for renters and property owners","renters and property owners","high","evergreen","none","arrendamento | contrato de arrendamento","arrendamento | IMI | AIMI | IMT | imóvel | habitação","Autoridade Tributária, gov.pt, Diário da República, or the responsible municipality","1","curated_90_day"
"2026-10-04","14:30","3","education_children","golden_tip","Applying to Portuguese higher education: one golden tip and what to verify","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-04","18:00","4","daily_life_consumer","foundation","NEWS RESERVE — fallback: Internet installation documents: a plain-English explanation","everyone living in Portugal","low","news_flex","breaking_news","internet installation documents","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-04","21:00","5","banking_money","action","Basic bank accounts: a practical step-by-step checklist","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-10-05","08:30","1","irs","audience","Checking household information before IRS for people filing personal income tax","people filing personal income tax","high","evergreen","none","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-10-05","11:30","2","health_family","golden_tip","Changing address in health records: one golden tip and what to verify","individuals and families","medium","evergreen","none","registo de saúde | processo clínico | SNS","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-05","14:30","3","immigration_residency","foundation","Using the AIMA renewals portal: a plain-English explanation","international residents","high","evergreen","none","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-10-05","18:00","4","daily_life_consumer","action","Republic Day in Portugal: what the public holiday means for your plans","everyone living in Portugal","low","rule_locked","date_locked","republic public holiday","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","https://www.dgaep.gov.pt/stap/infoPage.cfm?objid=9a36961c-71bc-40de-8ee0-5cdeb2dea832","1","curated_90_day"
"2026-10-05","21:00","5","driving_transport","edge_case","Changing the address on vehicle records: mistakes, exceptions and edge cases","drivers and commuters","medium","evergreen","none","changing address vehicle","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-06","08:30","1","banking_money","golden_tip","Direct debits: one golden tip and what to verify","people managing money in Portugal","medium","evergreen","none","direct debits","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-10-06","11:30","2","daily_life_consumer","foundation","Document-expiry monthly review: a plain-English explanation","everyone living in Portugal","low","evergreen","none","document expiry monthly","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-10-06","14:30","3","iva","action","Monthly versus quarterly IVA: a practical step-by-step checklist","freelancers and small businesses","high","evergreen","none","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-10-06","18:00","4","employment","edge_case","NEWS RESERVE — fallback: Registering with IEFP: mistakes, exceptions and edge cases","employees and job seekers","medium","news_flex","breaking_news","registering","contrato de trabalho | emprego | salário | férias | desemprego","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-06","21:00","5","identity_access","audience","Confirming email and mobile contacts on Finanças for new residents","new residents","medium","evergreen","none","confirming email mobile","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-10-07","08:30","1","driving_transport","foundation","ISV basics: a plain-English explanation","drivers and commuters","medium","evergreen","none","basics","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-07","11:30","2","citizenship_civil","action","Tracking an IRN application: a practical step-by-step checklist","residents building a long-term life","high","evergreen","none","tracking application | IRN","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-07","14:30","3","housing_property","edge_case","Condominium documents: mistakes, exceptions and edge cases","renters and property owners","high","evergreen","none","condominium documents","arrendamento | IMI | AIMI | IMT | imóvel | habitação","Autoridade Tributária, gov.pt, Diário da República, or the responsible municipality","1","curated_90_day"
"2026-10-07","18:00","4","education_children","audience","NEWS RESERVE — fallback: Renewing school enrolment for families and students","families and students","medium","news_flex","breaking_news","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-07","21:00","5","health_family","golden_tip","Electronic prescriptions: one golden tip and what to verify","individuals and families","medium","evergreen","none","electronic prescriptions","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-08","08:30","1","identity_access","action","Using gov.pt authentication: a practical step-by-step checklist","new residents","medium","evergreen","none","using authentication","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-10-08","11:30","2","irs","edge_case","Employment income and IRS: mistakes, exceptions and edge cases","people filing personal income tax","high","evergreen","none","IRS | Imposto sobre o Rendimento das Pessoas Singulares","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-10-08","14:30","3","health_family","audience","Healthcare for children for individuals and families","individuals and families","medium","evergreen","none","healthcare children","SNS | centro de saúde | médico de família | nascimento | família","SNS, SNS 24, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-08","18:00","4","immigration_residency","golden_tip","NEWS RESERVE — fallback: Replacing a lost residence document: one golden tip and what to verify","international residents","high","news_flex","breaking_news","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-08","21:00","5","driving_transport","foundation","Public-transport passes: a plain-English explanation","drivers and commuters","medium","evergreen","none","public transport passes","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-09","08:30","1","freelance_business","edge_case","Starting a small company versus freelancing: mistakes, exceptions and edge cases","freelancers and solo founders","high","evergreen","none","starting small company","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-09","11:30","2","banking_money","audience","Keeping proof of bank transfers for people managing money in Portugal","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-10-09","14:30","3","daily_life_consumer","golden_tip","Changing electricity supplier: one golden tip and what to verify","everyone living in Portugal","low","evergreen","none","changing electricity supplier","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","gov.pt, Direção-Geral do Consumidor, ANACOM, ERSE, or the responsible municipality","1","curated_90_day"
"2026-10-09","18:00","4","iva","foundation","NEWS RESERVE — fallback: IVA on digital services: a plain-English explanation","freelancers and small businesses","high","news_flex","breaking_news","IVA | Imposto sobre o Valor Acrescentado","IVA | CIVA | artigo 53 | declaração periódica | VIES","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-09","21:00","5","employment","action","Reading a Portuguese employment contract: a practical step-by-step checklist","employees and job seekers","medium","evergreen","none","contrato de trabalho | Código do Trabalho","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-10","08:30","1","social_security","audience","Freelancing while employed for workers and freelancers","workers and freelancers","high","evergreen","none","freelancing while employed","Segurança Social | declaração trimestral | contribuições | NISS | desemprego","Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-10","11:30","2","driving_transport","golden_tip","Changing the address on vehicle records: one golden tip and what to verify","drivers and commuters","medium","evergreen","none","changing address vehicle","IMT | carta de condução | IUC | veículo | Via Verde","IMT, Autoridade Tributária, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-10","14:30","3","citizenship_civil","foundation","Apostilles and foreign documents: a plain-English explanation","residents building a long-term life","high","evergreen","none","apostilles foreign documents","IRN | cidadania | nacionalidade | registo civil | Nascer Cidadão","IRN, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-10","18:00","4","education_children","action","NEWS RESERVE — fallback: Recognising foreign school records: a practical step-by-step checklist","families and students","medium","news_flex","breaking_news","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-10","21:00","5","education_children","edge_case","Automatic versus specific degree recognition: mistakes, exceptions and edge cases","families and students","medium","evergreen","none","automatic versus specific","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-11","08:30","1","employment","golden_tip","Sick leave steps: one golden tip and what to verify","employees and job seekers","medium","evergreen","none","leave steps","contrato de trabalho | emprego | salário | férias | desemprego","ACT, Segurança Social, IEFP, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-11","11:30","2","identity_access","foundation","What a NISS is: a plain-English explanation","new residents","medium","evergreen","none","NISS | número de identificação da segurança social","NIF | NISS | Chave Móvel Digital | Portal das Finanças | Segurança Social Direta","gov.pt, Autoridade Tributária, Segurança Social, or Autenticação.gov as applicable","1","curated_90_day"
"2026-10-11","14:30","3","irs","action","Tax deductions versus tax credits: a practical step-by-step checklist","people filing personal income tax","high","evergreen","none","deductions versus credits","IRS | Modelo 3 | e-Fatura | Anexo J | IRS Automático","Autoridade Tributária or Diário da República","1","curated_90_day"
"2026-10-11","18:00","4","health_family","edge_case","NEWS RESERVE — fallback: Changing address in health records: mistakes, exceptions and edge cases","individuals and families","medium","news_flex","breaking_news","registo de saúde | processo clínico | SNS","SNS | centro de saúde | médico de família | nascimento | família","Official-source verification required; otherwise use fallback","1","curated_90_day"
"2026-10-11","21:00","5","immigration_residency","audience","Using the AIMA renewals portal for international residents","international residents","high","evergreen","none","AIMA | autorização de residência","AIMA | autorização de residência | visto | reagrupamento familiar | CPLP","AIMA, gov.pt, Diário da República, or IRN as applicable","1","curated_90_day"
"2026-10-12","08:30","1","education_children","foundation","Enrolling a child in a Portuguese school: a plain-English explanation","families and students","medium","evergreen","none","matrículas | Portal das Matrículas | educação","matrícula escolar | educação | equivalência | reconhecimento | MEGA","Direção-Geral da Educação, DGES, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-12","11:30","2","freelance_business","action","Simplified accounting versus organised accounting: a practical step-by-step checklist","freelancers and solo founders","high","evergreen","none","simplified accounting versus","trabalhador independente | abrir atividade | recibos verdes | CAE | CIRS","Autoridade Tributária, Segurança Social, gov.pt, or Diário da República","1","curated_90_day"
"2026-10-12","14:30","3","banking_money","edge_case","Opening a Portuguese bank account: mistakes, exceptions and edge cases","people managing money in Portugal","medium","evergreen","none","Banco de Portugal | IBAN | SEPA","Banco de Portugal | SEPA | conta bancária | IBAN | crédito","Banco de Portugal, European Central Bank, or gov.pt","1","curated_90_day"
"2026-10-12","18:00","4","daily_life_consumer","audience","NEWS RESERVE — fallback: Building an emergency document folder for everyone living in Portugal","everyone living in Portugal","low","news_flex","breaking_news","building emergency document","ePortugal | Livro de Reclamações | ANACOM | energia | telecomunicações","Official-source verification required; otherwise use fallback","1","curated_90_day"
